h r t rank freq norm_F
0 95 10598 1 7 0.6203512
0 132 789 1 692 0.7670322
0 650 4512 1 114 1.2466191
1 108 1688 28 179 0.84744465
1 108 1792 69 139 0.915708
1 108 2586 72 55 0.8162802
1 108 4056 23 66 0.7473103
1 108 6653 15 45 0.7008227
1 108 7936 20 48 0.67355293
1 108 9590 48 53 0.66710573
1 108 10742 32 65 0.79754025
1 108 11188 92 62 0.7293093
2 398 2555 6 146 0.788416
2 398 3701 1 92 0.817808
3 42 2028 0 1039 1.1372966
4 2 168 263 50 0.82731104
4 2 178 299 61 0.9525641
4 2 246 504 68 0.9517125
4 2 480 354 197 0.97131026
4 2 485 3 167 1.0085386
4 2 698 614 65 0.8783495
4 2 764 272 64 0.91668814
4 2 885 679 106 0.9511773
4 2 924 520 98 0.95100725
4 2 1472 304 73 1.0442487
4 2 1581 500 186 1.0892335
4 2 1685 268 64 0.99099547
4 2 2001 408 103 0.95685434
4 2 2256 383 112 1.0023825
4 2 2528 40 64 1.0155275
4 2 2545 444 90 0.9546467
4 2 2824 382 79 0.9450438
4 2 2825 230 56 0.8252263
4 2 2936 320 43 0.8272248
4 2 3062 576 105 0.9855698
4 2 3086 277 67 0.94342154
4 2 3109 208 119 1.0909082
4 2 3480 696 63 0.9763732
4 2 3851 498 63 0.91529506
4 2 3867 236 129 1.0329943
4 2 3886 178 79 0.9140824
4 2 3990 349 60 0.95336
4 2 4099 423 66 0.921385
4 2 4409 283 66 0.98287416
4 2 4781 239 50 0.9929686
4 2 4812 644 110 1.0631093
4 2 4951 435 140 0.99762505
4 2 5002 662 110 1.0201544
4 2 5089 571 101 0.94408303
4 2 5153 609 125 0.95770305
4 2 5154 486 84 0.9926091
4 2 5940 471 69 0.9452347
4 2 5941 220 163 0.9852845
4 2 6714 622 85 0.9999453
4 2 6719 674 72 0.95006543
4 2 6791 626 70 1.0057268
4 2 6967 156 88 0.9594986
4 2 7178 510 90 0.939468
4 2 7918 457 43 0.8708412
4 2 8231 394 63 1.0100814
4 2 8448 338 90 0.9559799
4 2 8550 359 78 0.99682856
4 2 8585 487 88 0.93742365
4 2 8945 161 82 0.9187225
4 2 9768 785 56 0.8931979
4 2 10126 579 75 0.99115777
4 2 10250 421 79 0.8981866
4 2 10435 432 42 0.9087828
4 2 10627 629 61 0.87237364
4 2 11179 307 52 0.9474555
4 35 20 763 77 0.952247
4 35 226 1096 82 1.0145627
4 35 250 276 178 1.0856372
4 35 274 729 93 1.0020275
4 35 322 982 101 1.038326
4 35 345 1153 63 0.9346835
4 35 401 597 182 1.1226984
4 35 485 176 167 1.0085386
4 35 793 539 93 0.9903727
4 35 824 1064 45 0.8065427
4 35 835 1012 51 0.9099681
4 35 885 474 106 0.9511773
4 35 904 887 52 0.8957273
4 35 942 991 76 0.8729254
4 35 973 959 110 0.9762696
4 35 1009 957 66 1.033708
4 35 1243 420 74 0.93840927
4 35 1317 839 105 0.93574584
4 35 1331 974 84 0.92347646
