h h_freq h_norm_F r r_freq r_norm_F t t_freq t_norm_F rank
0 77 0.79341686 95 142 0.78113145 10598 7 0.6203512 1
0 77 0.79341686 132 760 1.3409277 789 692 0.7670322 1
0 77 0.79341686 650 132 0.696068 4512 114 1.2466191 1
1 137 0.76817536 108 291 0.9828616 1688 179 0.84744465 28
1 137 0.76817536 108 291 0.9828616 1792 139 0.915708 69
1 137 0.76817536 108 291 0.9828616 2586 55 0.8162802 72
1 137 0.76817536 108 291 0.9828616 4056 66 0.7473103 23
1 137 0.76817536 108 291 0.9828616 6653 45 0.7008227 15
1 137 0.76817536 108 291 0.9828616 7936 48 0.67355293 20
1 137 0.76817536 108 291 0.9828616 9590 53 0.66710573 48
1 137 0.76817536 108 291 0.9828616 10742 65 0.79754025 32
1 137 0.76817536 108 291 0.9828616 11188 62 0.7293093 92
2 16 0.6297251 398 296 1.0176413 2555 146 0.788416 6
2 16 0.6297251 398 296 1.0176413 3701 92 0.817808 1
3 32 0.7466866 42 2468 1.1266165 2028 1039 1.1372966 0
4 2908 1.4201012 2 2671 1.7832892 168 50 0.82731104 263
4 2908 1.4201012 2 2671 1.7832892 178 61 0.9525641 299
4 2908 1.4201012 2 2671 1.7832892 246 68 0.9517125 504
4 2908 1.4201012 2 2671 1.7832892 480 197 0.97131026 354
4 2908 1.4201012 2 2671 1.7832892 485 167 1.0085386 3
4 2908 1.4201012 2 2671 1.7832892 698 65 0.8783495 614
4 2908 1.4201012 2 2671 1.7832892 764 64 0.91668814 272
4 2908 1.4201012 2 2671 1.7832892 885 106 0.9511773 679
4 2908 1.4201012 2 2671 1.7832892 924 98 0.95100725 520
4 2908 1.4201012 2 2671 1.7832892 1472 73 1.0442487 304
4 2908 1.4201012 2 2671 1.7832892 1581 186 1.0892335 500
4 2908 1.4201012 2 2671 1.7832892 1685 64 0.99099547 268
4 2908 1.4201012 2 2671 1.7832892 2001 103 0.95685434 408
4 2908 1.4201012 2 2671 1.7832892 2256 112 1.0023825 383
4 2908 1.4201012 2 2671 1.7832892 2528 64 1.0155275 40
4 2908 1.4201012 2 2671 1.7832892 2545 90 0.9546467 444
4 2908 1.4201012 2 2671 1.7832892 2824 79 0.9450438 382
4 2908 1.4201012 2 2671 1.7832892 2825 56 0.8252263 230
4 2908 1.4201012 2 2671 1.7832892 2936 43 0.8272248 320
